"","burn_mi2","year"
"1",1124.41609233741,1984
"2",3558.22790382987,1985
"3",1720.73856994726,1986
"4",2300.9953423677,1987
"5",4711.93084995117,1988
"6",1059.13846939481,1989
"7",1276.13593574516,1990
"8",690.212661850559,1991
"9",1710.52381389851,1992
"10",873.629899921462,1993
"11",3203.00980287741,1994
"12",1151.48639541452,1995
"13",5497.01722613735,1996
"14",574.005187104642,1997
"15",829.789857784033,1998
"16",4687.99745127608,1999
"17",6429.54434209765,2000
"18",2764.30122981307,2001
"19",5030.27661574163,2002
"20",4589.62626186958,2003
"21",1305.3875842723,2004
"22",4799.6188789907,2005
"23",8552.9887543391,2006
"24",9951.72405180917,2007
"25",3665.87975380817,2008
"26",1788.45643808082,2009
"27",1903.56378433983,2010
"28",5831.26758347541,2011
"29",11448.1069209264,2012
"30",3738.16781463973,2013
"31",2602.36729224013,2014
"32",4202.59098733923,2015
"33",3570.48646551092,2016
"34",10066.1018164456,2017
"35",8027.75292948578,2018
"36",2302.54140232435,2019
"37",10932.9293347501,2020
